COlonne1,Colonne2
0,0.0116495351050066
0.01,0.00637459214989987
0.02,0.0010605641041915
0.03,0.0039909415767764
0.04,-0.00636536153363948
0.05,0.0175869064524121
0.06,0.00132439041666571
0.07,0.0188888055107423
0.08,0.00381842804511009
0.09,0.0101842071168808
0.1,-0.0127517804958713
0.11,-0.00525517446114387
0.12,0.0140441320426952
0.13,-0.00486620228164774
0.14,0.00727394664641103
0.15,-0.00213341550006708
0.16,7.74453835279843e-05
0.17,-0.0121444639636066
0.18,-0.0115619340607445
0.19,0.0106305359190778
0.2,0.000108116226035928
0.21,-0.00750884371214407
0.22,-0.00730766437115312
0.23,0.00873848552650813
0.24,-0.0005594582717334
0.25,0.00511841248876084
0.26,0.00397015209145478
0.27,0.00763913207063763
0.28,0.00420879359481889
0.29,-0.013059779171266
0.3,0.00407993309062187
0.31,0.0114833854478312
0.32,0.0075777271381925
0.33,-0.0233155209331228
0.34,-0.00236541978665378
0.35,-0.00312864164538758
0.36,0.00306160647821575
0.37,-0.00536212339004774
0.38,-0.000379677673266009
0.39,0.0155953748370262
0.4,0.00808178242451435
0.41,0.00251720549909847
0.42,-0.00919259805499246
0.43,-0.000625457057950451
0.44,0.00148780517063566
0.45,-0.00560870182249404
0.46,-0.00348534275916616
0.47,0.00390219162177462
0.48,0.0152539988377282
0.49,-0.0246468959070647
0.5,-0.0112362450940623
0.51,0.010647288748342
0.52,0.00506552176218096
0.53,-0.00343012892947365
0.54,0.00345769097452624
0.55,-0.010433196108404
0.56,-0.0109177686381971
0.57,0.00227405020370044
0.58,0.0140943813935162
0.59,0.00649644323549872
0.6,-0.00585484059645557
0.61,0.00820582837607924
0.62,-0.00301692058408993
0.63,-0.00769784007762222
0.64,-0.00492116210210897
0.65,-0.00672192872621211
0.66,-0.00284775619402971
0.67,0.00470457827681334
0.68,-0.0116121510037169
0.69,0.00245679464429931
0.7,0.0101756417719897
0.71,0.000424629829375821
0.72,0.00610224792317969
0.73,-0.0012943564223196
0.74,0.0195520996411612
0.75,0.00886439331445999
0.76,-0.0181426178632652
0.77,0.0004551154022857
0.78,-0.0180572665110984
0.79,0.0100836818237979
0.8,0.00357389101798488
0.81,0.00603185581635502
0.82,0.00846802509478236
0.83,0.0174209361766006
0.84,-0.00299011398116071
0.85,-0.000896582898274923
0.86,0.00673327483398421
0.87,0.010437951660233
0.88,-0.0103309696329324
0.89,-0.00463508108793221
0.9,0.00113113053721903
0.91,-0.0242306236549887
0.92,0.0118644793567764
0.93,-0.0102640121432001
0.94,0.0113557084690964
0.95,-0.00812849448821171
0.96,0.00604026151616532
0.97,0.00785932183725095
0.98,-0.00201365519165464
0.99,0.00545715184849732
1,-0.00136821963633147
1.01,0.00471413138998156
1.02,-0.0141056106853404
1.03,-0.0141746867264127
1.04,0.00216823103809268
1.05,-0.024257939243478
1.06,-0.0228996516478692
1.07,-0.0492804626734347
1.08,-0.0463872249547614
1.09,-0.0597033265856762
1.1,-0.0647550862088239
1.11,-0.0628581665478185
1.12,-0.0734745288779956
1.13,-0.0822350773435682
1.14,-0.103097472004458
1.15,-0.110619494602243
1.16,-0.137271677974655
1.17,-0.142511705140331
1.18,-0.136763469249739
1.19,-0.15187096264442
1.2,-0.167720314956927
1.21,-0.19580794633512
1.22,-0.191346591725873
1.23,-0.201899336579559
1.24,-0.220925928524147
1.25,-0.224936036434243
1.26,-0.21306772953669
1.27,-0.253801150403136
1.28,-0.275522470787817
1.29,-0.296173902385261
1.3,-0.286984158521836
1.31,-0.295827033856041
1.32,-0.310239860804357
1.33,-0.287400342856839
1.34,-0.306751667480149
1.35,-0.317934066990693
1.36,-0.328352612751461
1.37,-0.368951462185068
1.38,-0.330775419050962
1.39,-0.354277889585804
1.4,-0.370057658373872
1.41,-0.387784691244346
1.42,-0.372298025381563
1.43,-0.357878609315753
1.44,-0.380062894563081
1.45,-0.379751121630226
1.46,-0.394248862598367
1.47,-0.385980946584242
1.48,-0.415096819198885
1.49,-0.393362152334034
1.5,-0.400541427699541
1.51,-0.410017362672947
1.52,-0.408249746373843
1.53,-0.396102180687936
1.54,-0.412997966689756
1.55,-0.405350043312532
1.56,-0.427829689874068
1.57,-0.403292583604932
1.58,-0.396817803035055
1.59,-0.420155083807148
1.6,-0.423372365336834
1.61,-0.421625339327158
1.62,-0.403658425739848
1.63,-0.416321100326119
1.64,-0.407515331000072
1.65,-0.418131919604945
1.66,-0.39100140158422
1.67,-0.405741218725032
1.68,-0.38584444745347
1.69,-0.383042042683663
1.7,-0.387914958884126
1.71,-0.378541799505619
1.72,-0.379787682397385
1.73,-0.374985042887161
1.74,-0.354320923520571
1.75,-0.359479970100536
1.76,-0.364595212596776
1.77,-0.331514288965338
1.78,-0.350858837279276
1.79,-0.329039763764239
1.8,-0.334371643232999
1.81,-0.321454147066264
1.82,-0.306553503769141
1.83,-0.291879478868598
1.84,-0.297203819842624
1.85,-0.28157428605871
1.86,-0.278067764456509
1.87,-0.266368641088576
1.88,-0.26892019057495
1.89,-0.248638428468561
1.9,-0.222586614935135
1.91,-0.235536680304386
1.92,-0.229634408420803
1.93,-0.190322717216625
1.94,-0.18351416646423
1.95,-0.175967692716784
1.96,-0.186833331900513
1.97,-0.145058861969435
1.98,-0.154783352952576
1.99,-0.148909977167268
2,-0.131856930694203
2.01,-0.10923824827142
2.02,-0.0940148247506689
2.03,-0.0858198183425356
2.04,-0.0778374763967863
2.05,-0.0442965595563039
